Time, Value, Peak Data, SDNN, RMSSD, LF_Power, HF_Power, LF/HF Ratio, PPI
0:1:0:774, 2863, , 21.0045552184495, 26.999432924362, 829.964659851739, 484.221041034796, 1.71402022943505, 
0:2:1:8, 1925, , , , , , , 
0:2:1:21, 1890, , 42.3755341132348, 45.3199077894626, 828.172804485128, 478.522707848942, 1.73068652939781, 
0:3:1:175, 2061, , , , , , , 
0:3:1:184, 2066, , 41.9326669934111, 44.273159351009, 813.433778817064, 511.737271761308, 1.58955351447701, 
0:4:1:580, 1936, , , , , , , 
0:4:1:585, 1950, , 76.4038025152597, 45.6859722756401, 865.878981900596, 475.260519810487, 1.82190387336585, 
0:5:1:769, 2051, , , , , , , 
0:5:1:780, 2057, , 84.7568177549323, 72.4838411990156, 811.016735329937, 477.770217042101, 1.69750375054976, 
0:6:2:8, 1937, , , , , , , 
0:6:2:18, 1920, , 29.0379841252968, 40.6381745133305, 823.146484217784, 496.76073583817, 1.65702807173138, 
0:7:2:265, 1678, , , , , , , 
0:7:2:286, 1659, , 25.4072455699323, 40.2948965039647, 831.103110455839, 449.719918197358, 1.84804603226649, 
0:8:2:458, 1908, , , , , , , 
0:8:2:461, 1898, , 79.2819852944573, 88.9747432731046, 865.087039651241, 495.205401739866, 1.74692569307973, 
0:9:2:769, 2075, , , , , , , 
0:9:2:770, 2071, , 58.3604572953043, 58.4264655071788, 828.825589319766, 486.700410547728, 1.70294820254418, 
0:10:3:38, 1995, , , , , , , 
0:10:3:44, 1989, , 85.3337749681157, 72.7936038513464, 822.107544136384, 512.55491892376, 1.60394040479137, 
