Time, Value, Peak Time, Peak Data, SDNN Time, SDNN Data, RMSSD Time, RMSSD Data, LF/HF Ratio Time, LF/HF Ratio Data, LF_Power, HF_Power, PPI
0:0:59:125, 2071, 0:0:59:125, 0, 0:0:59:125, 0, 0:0:59:125, 0, 0:0:59:125, 0, 0, 0, 0
0:0:59:125, 2077, 0:0:59:125, 0, 0:0:59:125, 0, 0:0:59:125, 0, 0:0:59:125, 0, 0, 0, 0
0:0:59:126, 2085, 0:0:59:126, 0, 0:0:59:126, 0, 0:0:59:126, 0, 0:0:59:126, 0, 0, 0, 0
0:0:59:126, 2090, 0:0:59:126, 0, 0:0:59:126, 0, 0:0:59:126, 0, 0:0:59:126, 0, 0, 0, 0
0:0:59:161, 2095, 0:0:59:161, 0, 0:0:59:161, 0, 0:0:59:161, 0, 0:0:59:161, 0, 0, 0, 0
0:0:59:165, 2100, 0:0:59:165, 0, 0:0:59:165, 0, 0:0:59:165, 0, 0:0:59:165, 0, 0, 0, 0
0:0:59:166, 2107, 0:0:59:166, 0, 0:0:59:166, 0, 0:0:59:166, 0, 0:0:59:166, 0, 0, 0, 0
0:0:59:187, 2113, 0:0:59:187, 0, 0:0:59:187, 0, 0:0:59:187, 0, 0:0:59:187, 0, 0, 0, 0
0:0:59:187, 2117, 0:0:59:187, 0, 0:0:59:187, 0, 0:0:59:187, 0, 0:0:59:187, 0, 0, 0, 0
0:0:59:189, 2120, 0:0:59:189, 0, 0:0:59:189, 0, 0:0:59:189, 0, 0:0:59:189, 0, 0, 0, 0
0:0:59:189, 2125, 0:0:59:189, 0, 0:0:59:189, 0, 0:0:59:189, 0, 0:0:59:189, 0, 0, 0, 0
0:0:59:189, 2130, 0:0:59:189, 0, 0:0:59:189, 0, 0:0:59:189, 0, 0:0:59:189, 0, 0, 0, 0
0:0:59:190, 2132, 0:0:59:190, 0, 0:0:59:190, 0, 0:0:59:190, 0, 0:0:59:190, 0, 0, 0, 0
0:0:59:190, 2133, 0:0:59:190, 0, 0:0:59:190, 0, 0:0:59:190, 0, 0:0:59:190, 0, 0, 0, 0
0:0:59:202, 2134, 0:0:59:202, 0, 0:0:59:202, 0, 0:0:59:202, 0, 0:0:59:202, 0, 0, 0, 0
