Time, Value, Peak Time, Peak Data, SDNN Time, SDNN Data, RMSSD Time, RMSSD Data, LF/HF Ratio Time, LF/HF Ratio Data, LF_Power, HF_Power, PPI
0:0:0:20,2303, 0:0:0:20,0, 0:0:0:20,0, 0:0:0:20,0, 0:0:0:20,0,0,0,0
0:0:0:23,2359, 0:0:0:23,0, 0:0:0:23,0, 0:0:0:23,0, 0:0:0:23,0,0,0,0
0:0:0:24,2410, 0:0:0:24,0, 0:0:0:24,0, 0:0:0:24,0, 0:0:0:24,0,0,0,0
0:0:0:25,2456, 0:0:0:25,0, 0:0:0:25,0, 0:0:0:25,0, 0:0:0:25,0,0,0,0
0:0:0:25,2497, 0:0:0:25,0, 0:0:0:25,0, 0:0:0:25,0, 0:0:0:25,0,0,0,0
0:0:0:26,2531, 0:0:0:26,0, 0:0:0:26,0, 0:0:0:26,0, 0:0:0:26,0,0,0,0
0:0:0:26,2578, 0:0:0:26,0, 0:0:0:26,0, 0:0:0:26,0, 0:0:0:26,0,0,0,0
0:0:0:27,2600, 0:0:0:27,0, 0:0:0:27,0, 0:0:0:27,0, 0:0:0:27,0,0,0,0
0:0:0:27,2613, 0:0:0:27,0, 0:0:0:27,0, 0:0:0:27,0, 0:0:0:27,0,0,0,0
0:0:0:28,2620, 0:0:0:28,0, 0:0:0:28,0, 0:0:0:28,0, 0:0:0:28,0,0,0,0
0:0:0:28,2623, 0:0:0:28,0, 0:0:0:28,0, 0:0:0:28,0, 0:0:0:28,0,0,0,0
0:0:0:29,2622, 0:0:0:29,0, 0:0:0:29,0, 0:0:0:29,0, 0:0:0:29,0,0,0,0
0:0:0:30,2617, 0:0:0:30,0, 0:0:0:30,0, 0:0:0:30,0, 0:0:0:30,0,0,0,0
0:0:0:30,2608, 0:0:0:30,0, 0:0:0:30,0, 0:0:0:30,0, 0:0:0:30,0,0,0,0
0:0:0:30,2596, 0:0:0:30,0, 0:0:0:30,0, 0:0:0:30,0, 0:0:0:30,0,0,0,0
0:0:0:32,2581, 0:0:0:32,0, 0:0:0:32,0, 0:0:0:32,0, 0:0:0:32,0,0,0,0
0:0:0:32,2563, 0:0:0:32,0, 0:0:0:32,0, 0:0:0:32,0, 0:0:0:32,0,0,0,0
0:0:0:32,2544, 0:0:0:32,0, 0:0:0:32,0, 0:0:0:32,0, 0:0:0:32,0,0,0,0
0:0:0:33,2522, 0:0:0:33,0, 0:0:0:33,0, 0:0:0:33,0, 0:0:0:33,0,0,0,0
0:0:0:33,2499, 0:0:0:33,0, 0:0:0:33,0, 0:0:0:33,0, 0:0:0:33,0,0,0,0
0:0:0:34,2474, 0:0:0:34,0, 0:0:0:34,0, 0:0:0:34,0, 0:0:0:34,0,0,0,0
0:0:0:34,2448, 0:0:0:34,0, 0:0:0:34,0, 0:0:0:34,0, 0:0:0:34,0,0,0,0
0:0:0:35,2421, 0:0:0:35,0, 0:0:0:35,0, 0:0:0:35,0, 0:0:0:35,0,0,0,0
0:0:0:35,2393, 0:0:0:35,0, 0:0:0:35,0, 0:0:0:35,0, 0:0:0:35,0,0,0,0
0:0:0:35,2366, 0:0:0:35,0, 0:0:0:35,0, 0:0:0:35,0, 0:0:0:35,0,0,0,0
0:0:0:37,2337, 0:0:0:37,0, 0:0:0:37,0, 0:0:0:37,0, 0:0:0:37,0,0,0,0
0:0:0:37,2308, 0:0:0:37,0, 0:0:0:37,0, 0:0:0:37,0, 0:0:0:37,0,0,0,0
0:0:0:37,2279, 0:0:0:37,0, 0:0:0:37,0, 0:0:0:37,0, 0:0:0:37,0,0,0,0
0:0:0:38,2250, 0:0:0:38,0, 0:0:0:38,0, 0:0:0:38,0, 0:0:0:38,0,0,0,0
0:0:0:39,2220, 0:0:0:39,0, 0:0:0:39,0, 0:0:0:39,0, 0:0:0:39,0,0,0,0
0:0:0:39,2192, 0:0:0:39,0, 0:0:0:39,0, 0:0:0:39,0, 0:0:0:39,0,0,0,0
0:0:0:40,2163, 0:0:0:40,0, 0:0:0:40,0, 0:0:0:40,0, 0:0:0:40,0,0,0,0
0:0:0:41,2134, 0:0:0:41,0, 0:0:0:41,0, 0:0:0:41,0, 0:0:0:41,0,0,0,0
0:0:0:41,2106, 0:0:0:41,0, 0:0:0:41,0, 0:0:0:41,0, 0:0:0:41,0,0,0,0
0:0:0:42,2077, 0:0:0:42,0, 0:0:0:42,0, 0:0:0:42,0, 0:0:0:42,0,0,0,0
0:0:0:42,2049, 0:0:0:42,0, 0:0:0:42,0, 0:0:0:42,0, 0:0:0:42,0,0,0,0
0:0:0:43,2020, 0:0:0:43,0, 0:0:0:43,0, 0:0:0:43,0, 0:0:0:43,0,0,0,0
0:0:0:44,1993, 0:0:0:44,0, 0:0:0:44,0, 0:0:0:44,0, 0:0:0:44,0,0,0,0
0:0:0:44,1966, 0:0:0:44,0, 0:0:0:44,0, 0:0:0:44,0, 0:0:0:44,0,0,0,0
0:0:0:44,1939, 0:0:0:44,0, 0:0:0:44,0, 0:0:0:44,0, 0:0:0:44,0,0,0,0
0:0:0:46,1911, 0:0:0:46,0, 0:0:0:46,0, 0:0:0:46,0, 0:0:0:46,0,0,0,0
0:0:0:46,1886, 0:0:0:46,0, 0:0:0:46,0, 0:0:0:46,0, 0:0:0:46,0,0,0,0
0:0:0:47,1861, 0:0:0:47,0, 0:0:0:47,0, 0:0:0:47,0, 0:0:0:47,0,0,0,0
0:0:0:47,1837, 0:0:0:47,0, 0:0:0:47,0, 0:0:0:47,0, 0:0:0:47,0,0,0,0
0:0:0:48,1815, 0:0:0:48,0, 0:0:0:48,0, 0:0:0:48,0, 0:0:0:48,0,0,0,0
0:0:0:48,1794, 0:0:0:48,0, 0:0:0:48,0, 0:0:0:48,0, 0:0:0:48,0,0,0,0
0:0:0:49,1775, 0:0:0:49,0, 0:0:0:49,0, 0:0:0:49,0, 0:0:0:49,0,0,0,0
0:0:0:49,1756, 0:0:0:49,0, 0:0:0:49,0, 0:0:0:49,0, 0:0:0:49,0,0,0,0
0:0:0:50,1740, 0:0:0:50,0, 0:0:0:50,0, 0:0:0:50,0, 0:0:0:50,0,0,0,0
