sep=,
HRV ANALYSIS RESULTS - 30-Jan-2024 15:48:51
Kubios HRV Scientific
4.0.3
released in June 2023

Analyzed by:  -  - 

File name: C:\Users\Miran-Laptop\Documents\GitHub\AutoKelvin_VR\Assets\ppgDATA\2024.01.30\Threshold_1.csv
Measurement date:  
File type: asciiCUSTOMPPG
Channel label: EKG
Data length: 00:10:06 (h:min:s)
Measurement rate: 255 Hz

Parameters
 Number of samples: 10
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,
  Sample limits (hh:mm:ss):   ,00:00:00-00:01:00,00:01:01-00:02:01,00:02:02-00:03:02,00:03:03-00:04:03,00:04:04-00:05:04,00:05:05-00:06:05,00:06:06-00:07:06,00:07:07-00:08:07,00:08:08-00:09:08,00:09:06-00:10:06,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,          85,          86,          87,          90,          92,          91,          93,          89,          88,          92,
  Beats corrected:            ,           0,           0,           0,           0,           2,           0,           0,           0,           2,           1,
  Beats corrected (%):        ,           0,           0,           0,           0,        2.17,           0,           0,           0,        2.27,        1.09,
  Effective data length (s):  ,          60,          60,          60,          60,          60,          60,          60,          60,          60,          60,
  Effective data length (%):  ,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,
  DCmod (ms):                 ,     26.4482,            ,     23.3516,            ,     26.0245,            ,     18.1457,            ,     19.4358,            ,     15.4209,            ,     23.3427,            ,     24.6060,            ,     21.0868,            ,     15.2723,            ,
  AC (ms):                    ,    -17.8417,            ,    -23.1934,            ,    -26.0272,            ,    -15.4267,            ,    -20.5686,            ,    -11.7142,            ,    -17.5269,            ,    -32.2723,            ,    -21.0572,            ,    -13.6420,            ,
  ACmod (ms):                 ,    -22.3464,            ,    -24.5802,            ,    -24.7698,            ,    -15.5845,            ,    -20.4679,            ,    -15.7764,            ,    -21.5354,            ,    -28.2937,            ,    -23.0363,            ,    -13.1386,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.040000,    0.040000,    0.040000,    0.040000,    0.023333,    0.040000,    0.040000,    0.040000,    0.010000,    0.040000,    0.040000,    0.040000,    0.036667,    0.040000,    0.036667,    0.040000,    0.010000,    0.040000,    0.040000,    0.040000,
  LF (Hz):                    ,    0.110000,    0.113333,    0.050000,    0.090000,    0.120000,    0.120000,    0.110000,    0.090000,    0.093333,    0.096667,    0.046667,    0.073333,    0.073333,    0.080000,    0.103333,    0.110000,    0.070000,    0.096667,    0.140000,    0.123333,
  HF (Hz):                    ,    0.173333,    0.150000,    0.223333,    0.150000,    0.200000,    0.150000,    0.256667,    0.150000,    0.203333,    0.150000,    0.170000,    0.150000,    0.150000,    0.150000,    0.170000,    0.150000,    0.150000,    0.150000,    0.150000,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,     14.0986,     80.6967,    131.2377,    101.9941,      6.4342,     44.9906,     64.6924,     48.1462,     48.5422,     46.9035,     40.8181,    111.7193,     55.2466,    100.5620,     55.0277,     81.4726,     12.4694,    103.3715,     32.4837,     74.6225,
  LF (ms^2):                  ,    427.4129,   1068.2004,   1047.2325,    671.3492,    744.0550,    594.6769,    265.6186,    280.8331,    635.6293,    681.0909,    288.4285,    436.2228,   1067.3074,   2147.0364,   1368.5993,    952.6326,    673.5408,    780.7882,    453.5050,    461.7484,
  HF (ms^2):                  ,    482.0019,    267.0751,    362.6200,    276.5131,    363.8510,    311.3641,    146.9920,    130.3004,     99.0817,    163.3845,    128.9146,    151.9045,     68.7193,     77.4464,    308.7910,    224.3031,    122.7562,    132.8413,    163.0299,    260.3545,
  VLF (log):                  ,      2.6461,      4.3907,      4.8770,      4.6249,      1.8616,      3.8065,      4.1696,      3.8742,      3.8824,      3.8481,      3.7091,      4.7160,      4.0118,      4.6108,      4.0078,      4.4003,      2.5233,      4.6383,      3.4807,      4.3124,
  LF (log):                   ,      6.0578,      6.9737,      6.9539,      6.5093,      6.6121,      6.3880,      5.5821,      5.6378,      6.4546,      6.5237,      5.6644,      6.0782,      6.9729,      7.6718,      7.2215,      6.8592,      6.5125,      6.6603,      6.1170,      6.1350,
  HF (log):                   ,      6.1779,      5.5875,      5.8934,      5.6223,      5.8967,      5.7410,      4.9904,      4.8698,      4.5959,      5.0961,      4.8592,      5.0233,      4.2300,      4.3496,      5.7327,      5.4130,      4.8102,      4.8892,      5.0939,      5.5620,
 Relative powers              ,
  VLF (%):                    ,      1.5265,      5.6978,      8.5150,      9.7132,      0.5772,      4.7298,     13.5536,     10.4812,      6.1966,      5.2614,      8.9052,     15.9608,      4.6370,      4.3250,      3.1763,      6.4740,      1.5416,     10.1630,      5.0039,      9.3651,
  LF (%):                     ,     46.2772,     75.4231,     67.9468,     63.9346,     66.7489,     62.5174,     55.6494,     61.1363,     81.1407,     76.4014,     62.9260,     62.3210,     89.5826,     92.3393,     78.9992,     75.6980,     83.2684,     76.7633,     69.8591,     57.9494,
  HF (%):                     ,     52.1877,     18.8575,     23.5276,     26.3332,     32.6409,     32.7332,     30.7961,     28.3659,     12.6482,     18.3277,     28.1251,     21.7018,      5.7678,      3.3308,     17.8242,     17.8235,     15.1761,     13.0603,     25.1136,     32.6745,
 Normalized powers            ,
  LF (n.u.):                  ,     46.9946,     79.9802,     74.2709,     70.8128,     67.1364,     65.6212,     64.3745,     68.2944,     86.5009,     80.6445,     69.0775,     74.1570,     93.9386,     96.5135,     81.5908,     80.9378,     84.5721,     85.4473,     73.5389,     63.9372,
  HF (n.u.):                  ,     52.9967,     19.9969,     25.7174,     29.1662,     32.8304,     34.3583,     35.6246,     31.6871,     13.4837,     19.3455,     30.8745,     25.8235,      6.0483,      3.4814,     18.4090,     19.0573,     15.4137,     14.5378,     26.4364,     36.0507,
 Total power (ms^2):          ,    923.5931,   1416.2784,   1541.2541,   1050.0556,   1114.7082,    951.2180,    477.3068,    459.3560,    783.3665,    891.4635,    458.3615,    699.9614,   1191.4221,   2325.1593,   1732.4217,   1258.4654,    808.8796,   1017.1371,    649.1709,    796.8130,
 LF/HF ratio:                 ,      0.8867,      3.9996,      2.8880,      2.4279,      2.0449,      1.9099,      1.8070,      2.1553,      6.4152,      4.1686,      2.2374,      2.8717,     15.5314,     27.7229,      4.4321,      4.2471,      5.4868,      5.8776,      2.7817,      1.7735,
 RESP (Hz):                   ,    0.227613,            ,    0.247376,            ,    0.223469,            ,    0.261002,            ,    0.190122,            ,    0.197601,            ,    0.127911,            ,    0.195705,            ,    0.249169,            ,    0.233078,            ,

Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   17.093111,            ,   16.038092,            ,   16.934022,            ,   11.164202,            ,   13.553123,            ,   11.960780,            ,   17.182186,            ,   15.023634,            ,   14.111650,            ,   11.466616,            ,
  SD2 (ms):                   ,   46.974348,            ,   45.211788,            ,   42.316920,            ,   29.697597,            ,   43.010391,            ,   39.532415,            ,   67.332079,            ,   49.438083,            ,   42.445647,            ,   36.347771,            ,
  SD2/SD1 ratio:              ,    2.748145,            ,    2.819025,            ,    2.498929,            ,    2.660073,            ,    3.173467,            ,    3.305170,            ,    3.918714,            ,    3.290688,            ,    3.007844,            ,    3.169878,            ,
 Approximate entropy (ApEn):  ,      0.5675,            ,      0.5609,            ,      0.6051,            ,      0.6313,            ,      0.5108,            ,      0.5659,            ,      0.5925,            ,      0.5733,            ,      0.5419,            ,      0.6393,            ,
 Sample entropy (SampEn):     ,      2.3556,            ,      2.2099,            ,      1.8092,            ,      2.0693,            ,      1.0765,            ,      1.3276,            ,      0.9791,            ,      1.6354,            ,      1.3073,            ,      1.3760,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      1.4595,            ,      1.1702,            ,      1.4019,            ,      1.5163,            ,      1.4148,            ,      1.4565,            ,      1.6382,            ,      1.6431,            ,      1.5490,            ,      1.3461,            ,
  alpha 2:                    ,      0.4098,            ,      0.4503,            ,      0.1653,            ,      0.4912,            ,      0.4535,            ,      0.4553,            ,      0.1306,            ,      0.1809,            ,      0.4176,            ,      0.6024,            ,
 Correlation dimension (D2):  ,      2.2498,            ,      2.9763,            ,      1.8908,            ,      0.2977,            ,      2.6590,            ,      0.7079,            ,      2.3186,            ,      2.9888,            ,      2.8062,            ,      0.4950,            ,
 Recurrence plot analysis (RPA),
